zone,period,input_load_mwh_per_year,flexible_ev_load_mwh_per_year,unserved_energy_mwh_per_year,overgeneration_mwh_per_year,hydrogen_electrolysis_load_mwh_per_year,ee_load_reduction_mwh_per_year
BANC,2020,19031876.22909221,0.0,0.0,0.0,0.0,0.0
BANC,2022,18978588.272291873,0.0,0.0,0.0,0.0,0.0
BANC,2026,18690267.305485755,0.0,0.0,0.0,0.0,0.0
BANC,2030,18651206.521136772,0.0,0.0,0.0,0.0,0.0
BANC,2035,18551175.19186208,0.0,0.0,0.0,0.0,0.0
BANC,2040,18451680.71302556,0.0,0.0,0.0,0.0,0.0
BANC,2045,18352717.018430546,0.0,0.0,0.0,0.0,0.0
CAISO,2020,240478374.60898563,0.0,0.0,0.0,275694.6486527375,0.0
CAISO,2022,245119159.75485647,0.0,0.0,0.0,499531.48695806635,0.0
CAISO,2026,255169832.02349532,0.0,0.0,0.0,1562659.5292868784,0.0
CAISO,2030,270075511.4694994,0.0,0.0,0.0,4476079.2392834,0.0
CAISO,2035,310837594.4613954,0.0,0.0,0.0,12839304.408058183,0.0
CAISO,2040,359590036.77045333,0.0,0.0,0.0,24143259.627786648,0.0
CAISO,2045,393456060.07340425,0.0,0.0,0.0,31912940.788710147,0.0
CAISO_NW_Hydro,2020,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0,0.0,0.0,0.0,0.0
IID,2020,3883044.812357832,0.0,0.0,0.0,0.0,0.0
IID,2022,3894982.720507312,0.0,0.0,0.0,0.0,0.0
IID,2026,3887847.3116414524,0.0,0.0,0.0,0.0,0.0
IID,2030,3860811.2665370484,0.0,0.0,0.0,0.0,0.0
IID,2035,3829392.0126025444,0.0,0.0,0.0,0.0,0.0
IID,2040,3798226.556742836,0.0,0.0,0.0,0.0,0.0
IID,2045,3767314.1553148283,0.0,0.0,0.0,0.0,0.0
LDWP,2020,27416648.29121972,0.0,0.0,0.0,0.0,0.0
LDWP,2022,27401313.00181389,0.0,0.0,0.0,0.0,0.0
LDWP,2026,26595284.178975463,0.0,0.0,0.0,0.0,0.0
LDWP,2030,25622046.380048722,0.0,0.0,0.0,0.0,0.0
LDWP,2035,24586150.366024025,0.0,0.0,0.0,0.0,0.0
LDWP,2040,23592134.324581508,0.0,0.0,0.0,0.0,0.0
LDWP,2045,22638304.604438476,0.0,0.0,0.0,0.0,0.0
NW,2020,240828073.87805983,0.0,0.0,0.0,0.0,0.0
NW,2022,243368001.28800678,0.0,0.0,0.0,0.0,0.0
NW,2026,248416000.99068937,0.0,0.0,0.0,0.0,0.0
NW,2030,253972934.54271787,0.0,0.0,0.0,0.0,0.0
NW,2035,260545361.27705723,0.0,0.0,0.0,0.0,0.0
NW,2040,267117789.88273203,0.0,0.0,0.0,0.0,0.0
NW,2045,273690217.8749172,0.0,0.0,0.0,0.0,0.0
SW,2020,142457371.74157503,0.0,0.0,0.0,0.0,0.0
SW,2022,146337999.9736477,0.0,0.0,0.0,0.0,0.0
SW,2026,152407000.9771249,0.0,0.0,0.0,0.0,0.0
SW,2030,158872918.24598867,0.0,0.0,0.0,0.0,0.0
SW,2035,167080693.56568322,0.0,0.0,0.0,0.0,0.0
SW,2040,175288466.626692,0.0,0.0,0.0,0.0,0.0
SW,2045,183496244.91164768,0.0,0.0,0.0,0.0,0.0
