storage_resource	vintage	energy_storage_cost_dollars_per_kwh_yr	new_energy_capacity_fixed_o_and_m_dollars_per_kwh_yr
CAISO_New_Pumped_Storage	2020	10.78	0
CAISO_New_Pumped_Storage	2022	9.59	0
CAISO_New_Pumped_Storage	2026	8.59	0
CAISO_New_Pumped_Storage	2030	8.74	0
CAISO_New_Flow_Battery	2020	23.23	1.78
CAISO_New_Flow_Battery	2022	19.38	1.6
CAISO_New_Flow_Battery	2026	14.04	1.35
CAISO_New_Flow_Battery	2030	12.53	1.25
CAISO_New_Flow_Battery_2	2020	23.23	1.78
CAISO_New_Flow_Battery_2	2022	19.38	1.6
CAISO_New_Flow_Battery_2	2026	14.04	1.35
CAISO_New_Flow_Battery_2	2030	12.53	1.25
CAISO_New_Flow_Battery_3	2020	23.23	1.78
CAISO_New_Flow_Battery_3	2022	19.38	1.6
CAISO_New_Flow_Battery_3	2026	14.04	1.35
CAISO_New_Flow_Battery_3	2030	12.53	1.25
CAISO_New_Flow_Battery_4	2020	23.23	1.78
CAISO_New_Flow_Battery_4	2022	19.38	1.6
CAISO_New_Flow_Battery_4	2026	14.04	1.35
CAISO_New_Flow_Battery_4	2030	12.53	1.25
CAISO_New_Flow_Battery_5	2020	23.23	1.78
CAISO_New_Flow_Battery_5	2022	19.38	1.6
CAISO_New_Flow_Battery_5	2026	14.04	1.35
CAISO_New_Flow_Battery_5	2030	12.53	1.25
CAISO_New_Li_Battery	2020	27.46	3.97
CAISO_New_Li_Battery	2022	21.42	3.36
CAISO_New_Li_Battery	2026	17.64	2.53
CAISO_New_Li_Battery	2030	14.33	2.18
CAISO_BTM_Li_Battery	2020	109.47	17.46
CAISO_BTM_Li_Battery	2022	87.78	14.78
CAISO_BTM_Li_Battery	2026	62.19	11.21
CAISO_BTM_Li_Battery	2030	54.72	9.88
CAISO_New_Li_Battery_2	2020	27.46	3.97
CAISO_New_Li_Battery_2	2022	21.42	3.36
CAISO_New_Li_Battery_2	2026	17.64	2.53
CAISO_New_Li_Battery_2	2030	14.33	2.18
CAISO_New_Li_Battery_3	2020	27.46	3.97
CAISO_New_Li_Battery_3	2022	21.42	3.36
CAISO_New_Li_Battery_3	2026	17.64	2.53
CAISO_New_Li_Battery_3	2030	14.33	2.18
CAISO_New_Li_Battery_4	2020	27.46	3.97
CAISO_New_Li_Battery_4	2022	21.42	3.36
CAISO_New_Li_Battery_4	2026	17.64	2.53
CAISO_New_Li_Battery_4	2030	14.33	2.18
CAISO_New_Li_Battery_5	2020	27.46	3.97
CAISO_New_Li_Battery_5	2022	21.42	3.36
CAISO_New_Li_Battery_5	2026	17.64	2.53
CAISO_New_Li_Battery_5	2030	14.33	2.18
CAISO_New_Li_Battery_6	2020	27.46	3.97
CAISO_New_Li_Battery_6	2022	21.42	3.36
CAISO_New_Li_Battery_6	2026	17.64	2.53
CAISO_New_Li_Battery_6	2030	14.33	2.18
