resource	period	capacity_limit_mw
InState_Biomass	2020	1146.85298714144
InState_Biomass	2022	1146.85298714144
InState_Biomass	2026	1146.85298714144
InState_Biomass	2030	1146.85298714144
InState_Biomass	2045	1146.85298714144
Greater_Imperial_Geothermal	2020	0
Greater_Imperial_Geothermal	2022	1256.77579908676
Greater_Imperial_Geothermal	2026	1256.77579908676
Greater_Imperial_Geothermal	2030	1256.77579908676
Greater_Imperial_Geothermal	2045	1256.77579908676
Inyokern_North_Kramer_Geothermal	2020	0
Inyokern_North_Kramer_Geothermal	2022	24
Inyokern_North_Kramer_Geothermal	2026	24
Inyokern_North_Kramer_Geothermal	2030	24
Inyokern_North_Kramer_Geothermal	2045	24
Northern_California_Ex_Geothermal	2020	0
Northern_California_Ex_Geothermal	2022	469
Northern_California_Ex_Geothermal	2026	469
Northern_California_Ex_Geothermal	2030	469
Northern_California_Ex_Geothermal	2045	469
Riverside_Palm_Springs_Geothermal	2020	0
Riverside_Palm_Springs_Geothermal	2022	32
Riverside_Palm_Springs_Geothermal	2026	32
Riverside_Palm_Springs_Geothermal	2030	32
Riverside_Palm_Springs_Geothermal	2045	32
Solano_Geothermal	2020	0
Solano_Geothermal	2022	135
Solano_Geothermal	2026	135
Solano_Geothermal	2030	135
Solano_Geothermal	2045	135
Southern_Nevada_Geothermal	2020	0
Southern_Nevada_Geothermal	2022	320
Southern_Nevada_Geothermal	2026	320
Southern_Nevada_Geothermal	2030	320
Southern_Nevada_Geothermal	2045	320
Carrizo_Solar	2020	9907
Carrizo_Solar	2022	9907
Carrizo_Solar	2026	9907
Carrizo_Solar	2030	9907
Carrizo_Solar	2045	9907
Carrizo_Wind	2020	0
Carrizo_Wind	2022	0
Carrizo_Wind	2026	287
Carrizo_Wind	2030	287
Carrizo_Wind	2045	287
Central_Valley_North_Los_Banos_Solar	2020	12872.7
Central_Valley_North_Los_Banos_Solar	2022	12872.7
Central_Valley_North_Los_Banos_Solar	2026	12872.7
Central_Valley_North_Los_Banos_Solar	2030	12872.7
Central_Valley_North_Los_Banos_Solar	2045	12872.7
Central_Valley_North_Los_Banos_Wind	2020	0
Central_Valley_North_Los_Banos_Wind	2022	173
Central_Valley_North_Los_Banos_Wind	2026	173
Central_Valley_North_Los_Banos_Wind	2030	173
Central_Valley_North_Los_Banos_Wind	2045	173
Distributed_Solar	2020	136121.379152614
Distributed_Solar	2022	133664.425870396
Distributed_Solar	2026	129793.178841678
Distributed_Solar	2030	125882.659969419
Distributed_Solar	2045	111091.023594135
Distributed_Wind	2020	0
Distributed_Wind	2022	253.16
Distributed_Wind	2026	253.16
Distributed_Wind	2030	253.16
Distributed_Wind	2045	253.16
Greater_Imperial_Solar	2020	35216.08
Greater_Imperial_Solar	2022	35216.08
Greater_Imperial_Solar	2026	35216.08
Greater_Imperial_Solar	2030	35216.08
Greater_Imperial_Solar	2045	35216.08
Greater_Imperial_Wind	2020	0
Greater_Imperial_Wind	2022	0
Greater_Imperial_Wind	2026	0
Greater_Imperial_Wind	2030	0
Greater_Imperial_Wind	2045	0
Greater_Kramer_Wind	2020	0
Greater_Kramer_Wind	2022	0
Greater_Kramer_Wind	2026	0
Greater_Kramer_Wind	2030	0
Greater_Kramer_Wind	2045	0
Humboldt_Wind	2020	0
Humboldt_Wind	2022	34
Humboldt_Wind	2026	34
Humboldt_Wind	2030	34
Humboldt_Wind	2045	34
Inyokern_North_Kramer_Solar	2020	23653
Inyokern_North_Kramer_Solar	2022	23653
Inyokern_North_Kramer_Solar	2026	23653
Inyokern_North_Kramer_Solar	2030	23653
Inyokern_North_Kramer_Solar	2045	23653
Kern_Greater_Carrizo_Solar	2020	8329
Kern_Greater_Carrizo_Solar	2022	8329
Kern_Greater_Carrizo_Solar	2026	8329
Kern_Greater_Carrizo_Solar	2030	8329
Kern_Greater_Carrizo_Solar	2045	8329
Kern_Greater_Carrizo_Wind	2020	0
Kern_Greater_Carrizo_Wind	2022	60
Kern_Greater_Carrizo_Wind	2026	60
Kern_Greater_Carrizo_Wind	2030	60
Kern_Greater_Carrizo_Wind	2045	60
Kramer_Inyokern_Ex_Solar	2020	4508
Kramer_Inyokern_Ex_Solar	2022	4508
Kramer_Inyokern_Ex_Solar	2026	4508
Kramer_Inyokern_Ex_Solar	2030	4508
Kramer_Inyokern_Ex_Solar	2045	4508
Kramer_Inyokern_Ex_Wind	2020	0
Kramer_Inyokern_Ex_Wind	2022	0
Kramer_Inyokern_Ex_Wind	2026	0
Kramer_Inyokern_Ex_Wind	2030	0
Kramer_Inyokern_Ex_Wind	2045	0
North_Victor_Solar	2020	4608
North_Victor_Solar	2022	4608
North_Victor_Solar	2026	4608
North_Victor_Solar	2030	4608
North_Victor_Solar	2045	4608
Northern_California_Ex_Solar	2020	41532
Northern_California_Ex_Solar	2022	41532
Northern_California_Ex_Solar	2026	41532
Northern_California_Ex_Solar	2030	41532
Northern_California_Ex_Solar	2045	41532
Northern_California_Ex_Wind	2020	0
Northern_California_Ex_Wind	2022	865.9
Northern_California_Ex_Wind	2026	865.9
Northern_California_Ex_Wind	2030	865.9
Northern_California_Ex_Wind	2045	865.9
NW_Ext_Tx_Wind	2020	0
NW_Ext_Tx_Wind	2022	1500
NW_Ext_Tx_Wind	2026	1500
NW_Ext_Tx_Wind	2030	1500
NW_Ext_Tx_Wind	2045	1500
Riverside_Palm_Springs_Solar	2020	57071
Riverside_Palm_Springs_Solar	2022	57071
Riverside_Palm_Springs_Solar	2026	57071
Riverside_Palm_Springs_Solar	2030	57071
Riverside_Palm_Springs_Solar	2045	57071
Sacramento_River_Solar	2020	23484
Sacramento_River_Solar	2022	23484
Sacramento_River_Solar	2026	23484
Sacramento_River_Solar	2030	23484
Sacramento_River_Solar	2045	23484
SCADSNV_Solar	2020	5608
SCADSNV_Solar	2022	5608
SCADSNV_Solar	2026	5608
SCADSNV_Solar	2030	5608
SCADSNV_Solar	2045	5608
SCADSNV_Wind	2020	0
SCADSNV_Wind	2022	0
SCADSNV_Wind	2026	0
SCADSNV_Wind	2030	0
SCADSNV_Wind	2045	0
Solano_Solar	2020	12025.0658336301
Solano_Solar	2022	12025.0658336301
Solano_Solar	2026	12025.0658336301
Solano_Solar	2030	12025.0658336301
Solano_Solar	2045	12025.0658336301
Solano_subzone_Solar	2020	0
Solano_subzone_Solar	2022	0
Solano_subzone_Solar	2026	0
Solano_subzone_Solar	2030	0
Solano_subzone_Solar	2045	0
Solano_subzone_Wind	2020	0
Solano_subzone_Wind	2022	18
Solano_subzone_Wind	2026	18
Solano_subzone_Wind	2030	18
Solano_subzone_Wind	2045	18
Solano_Wind	2020	0
Solano_Wind	2022	542
Solano_Wind	2026	542
Solano_Wind	2030	542
Solano_Wind	2045	542
